2026-08-13 11:03:32 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 11:03:32 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 09C4E6D0 [hardware]
2026-08-13 11:03:33 [INFO    ] sdr_monitor.web_backend (main.py:220): SDR started in [HARDWARE] mode. Session: 09C4E6D0
2026-08-13 11:03:34 [INFO    ] sdr_monitor.web_backend (main.py:239): Web-SDR Application Started. Session: 09C4E6D0
2026-08-13 11:03:42 [INFO    ] sdr_monitor.web_backend (main.py:571): Client disconnected from WebSocket.
2026-08-13 11:04:28 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 11:04:28 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 11:04:29 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: E097E528 [hardware]
2026-08-13 11:04:29 [INFO    ] sdr_monitor.web_backend (main.py:220): SDR started in [HARDWARE] mode. Session: E097E528
2026-08-13 11:04:39 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 11:04:39 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 11:04:40 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 9ABEF4DC [hardware]
2026-08-13 11:04:40 [INFO    ] sdr_monitor.web_backend (main.py:220): SDR started in [HARDWARE] mode. Session: 9ABEF4DC
2026-08-13 11:05:21 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 11:05:21 [INFO    ] sdr_monitor.web_backend (main.py:604): Audio streaming started for 94.524823 MHz in FM mode
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
2026-08-13 11:05:21 [ERROR   ] sdr_monitor.web_backend (main.py:128): Audio demodulation error: too many values to unpack (expected 2)
